Right sensor: 1.0740234300684082, Front sensor: 0.9818955829032145, 
Right sensor: 1.0124781171685635, Front sensor: 0.5784299515603548, 
Right sensor: 0.5986153123180197, Front sensor: 0.9999308733325033, 
Right sensor: 0.9776722833466144, Front sensor: 0.9244219561436304, 
Right sensor: 0.7073619664045098, Front sensor: 0.9303964530242168, 
Right sensor: 1.0818361862149266, Front sensor: 0.9957847645237933, 
Right sensor: 1.0447196157911285, Front sensor: 0.5790450324721147, 
Right sensor: 0.64912661874349, Front sensor: 0.9859624157088898, 
Right sensor: 0.975357894308484, Front sensor: 0.7925302111584145, 
Right sensor: 0.6351919667935637, Front sensor: 1.1099362030885642, 
Right sensor: 1.0372028752942912, Front sensor: 1.0182688531408768, 
Right sensor: 1.0935954538626376, Front sensor: 0.6069145636533849, 
Right sensor: 0.7276261793164741, Front sensor: 0.978681833152375, 
Right sensor: 0.978729768014491, Front sensor: 0.6953711841337678, 
Right sensor: 0.5907453539793415, Front sensor: 1.0749384161487996, 
Right sensor: 1.0076660137424978, Front sensor: 1.0526906559647857, 
Right sensor: 1.0326330574513811, Front sensor: 0.6620580593702543, 
Right sensor: 0.837102025464251, Front sensor: 0.9772335101111111, 
Right sensor: 0.9882031371871998, Front sensor: 0.6277576569222886, 
Right sensor: 0.5735043073471686, Front sensor: 1.0333024756340796, 
Right sensor: 0.9885094209300536, Front sensor: 1.1050060753552102, 
Right sensor: 0.8727123338130076, Front sensor: 0.7454981604848585, 
Right sensor: 0.9846318982338975, Front sensor: 0.9814753626687691, 
Right sensor: 1.0049691571768147, Front sensor: 0.5877552102305809, 
Right sensor: 0.5834890291471904, Front sensor: 1.005748329244071, 
Right sensor: 0.9770798361462922, Front sensor: 1.0051720526083963, 
Right sensor: 0.7538100465208114, Front sensor: 0.8607411471587629, 
Right sensor: 1.1159174038701627, Front sensor: 0.9919426527753178, 
Right sensor: 1.0313157806005253, Front sensor: 0.5750138488333535, 
Right sensor: 0.6206429071965933, Front sensor: 0.9879950440724526, 
